r0: 00000000ffffffff
gicd_itargetsr42: 00000000

gicd_itargetsr43: 00000000

gicd_itargetsr44: 00000000

gicd_itargetsr45: 00000000

gicd_itargetsr46: 00000000

gicd_itargetsr47: 00000000

gicd_icfgr0: aaaaaaaa

gicd_icfgr1: 55540000

gicd_icfgr2: 55555555

gicd_icfgr3: 55555555

gicd_icfgr4: 55555555

gicd_icfgr5: 55555555

gicd_icfgr6: 55555555

gicd_icfgr7: 55555555

gicd_icfgr8: 55555555

gicd_icfgr9: 55555555

gicd_icfgr10: 55555555

gicd_icfgr11: 55555555

gicd_spisr0: 00000000

gicd_spisr1: 00000000

gicd_spisr2: 00000000

gicd_spisr3: 00000000

gicd_spisr4: 00000000

gicd_spendsgir0: 00000000

gicd_spendsgir1: 00000000

gicd_spendsgir2: 00000000

gicd_spendsgir3: 00000000

far_el3: 0021c982046c170a

vbar_el3: 0000000000000000

ttbr0_el3: 0000000000014000

mair_el3: 000000bb0400ff44

amair_el3: 0000000000000000

par_el1: 0000000000000000

tpidr_el0: 0000000000000000

tpidrro_el0: 0000000000000000

tpidr_el1: 0000000000000000

tpidr_el3: 00000000ffff8500

rmr_el3: 0000000000000001

sder32_el3: 0000000000000000

cntfrq_el0: 0000000005f5dd19

cntp_cval_el0: 01230c8608a41312

cntv_cval_el0: 3f80e000071080f8

cntvoff_el2: 8140002000001028

cnthp_cval_el2: 24004501000c1809

cntps_cval_el1: 82a20002c000011f

cntps_ctl_el1: 00000000

elr_el1: 0000000000000000

elr_el2: 09c039100600c126

elr_el3: 0000000000003794

v0: 0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a

v1: 0a7325203a7261620000000000000005

v2: 68676665646362610000000000000000

v3: 40000000000000000000000000000000

v4: 00000000000000000000000000000000

v5: 40100401401004014010040140100401

v6: 00000000400000000000000040000000

v7: e786907a992290248105703020938055

v8: 10000c1d1344004888448d0143900011

v9: 4406402092320c40cc54a1240492600c

v10: c8449022810311823d9001099da08100

v11: 6a004101485000421420da5d02394d20

v12: 61400632a028050248845cd08f9c4021

v13: 2864ab7c200887798c3014cad6204848

v14: 11110b01d6ba672b972140393a349407

v15: 0a4460e008001a64005a3410ca241090

v16: ffffff80ffffffc8000000000001f700

v17: 0595070f62702754a90a105650010048

v18: d5640c11b82058d2a7e6a1490232d620

v19: 183c481a020a09802414104103286282

v20: 119293b8c458888485048020aa820e1c

v21: 839130ba08010048b660501215405b1a

v22: 00000644602c07307140420e13041841

v23: 1941072a0900c165082a402028925a38

v24: 81aa42880886e0901436242cc122e45b

v25: 42e12651410421780818a0019088026d

v26: 22a18942440812a4eb5a2a0177808042

v27: 32140328084b442136c1e37045844866

v28: 33daa4c0420833b1865020c600ec1584

v29: b24009906c34c0c895e16f2d829807e0

v30: 0150eb04961280361534e7046800c0c4

v31: 4e09103d062401604030c6d1e4008808
